Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_mediata,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2018S003410    ,6,Gràcia,30,la Salut,344000,Dalt                                              ,72,Dimecres,Dc,Laboral,2018,5,Maig,2,22,Nit,No hi ha causa mediata,429566.36 ,4584829.57,2.15615,41.410085
2018S006169    ,6,Gràcia,30,la Salut,344000,Dalt                                              ,72,Divendres,Dv,Laboral,2018,8,Agost,10,12,Matí,No hi ha causa mediata,429566.36 ,4584829.57,2.15615,41.410085
2018S005048    ,6,Gràcia,30,la Salut,344000,Dalt / Torrent de les Flors                       ,,Dissabte,Ds,Laboral,2018,6,Juny,30,16,Tarda,No hi ha causa mediata,429566.45 ,4584850.4 ,2.156149,41.410272
2018S008763    ,6,Gràcia,30,la Salut,344000,Dalt / Torrent de les Flors                       ,,Dijous,Dj,Laboral,2018,11,Novembre,15,18,Tarda,No hi ha causa mediata,429566.45 ,4584850.4 ,2.156149,41.410272
2018S002391    ,6,Gràcia,30,la Salut,344000,Dalt / Torrent de les Flors                       ,,Dilluns,Dl,Laboral,2018,3,Març,26,18,Tarda,No hi ha causa mediata,429566.45 ,4584850.4 ,2.156149,41.410272
2018S001054    ,6,Gràcia,30,la Salut,344000,Dalt / Torrent de les Flors                       ,,Dijous,Dj,Laboral,2018,2,Febrer,8,11,Matí,No hi ha causa mediata,429566.45 ,4584850.4 ,2.156149,41.410272
2018S006675    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal                                          ,403,Dimarts,Dm,Laboral,2018,9,Setembre,4,8,Matí,No hi ha causa mediata,429567.21 ,4583209.13,2.156349,41.39549
2018S004901    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal                                          ,403,Dimarts,Dm,Laboral,2018,6,Juny,26,14,Tarda,No hi ha causa mediata,429567.21 ,4583209.13,2.156349,41.39549
2018S007813    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,363809,Villarroel                                        ,110-112   ,Diumenge,Dg,Laboral,2018,10,Octubre,14,22,Nit,No hi ha causa mediata,429567.51 ,4582105.91,2.156481,41.385554
2018S000661    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,23403,Aribau                                            ,105,Dijous,Dj,Laboral,2018,1,Gener,25,13,Matí,No hi ha causa mediata,429572.08 ,4582645.42,2.156473,41.390413
2018S008794    ,3,Sants-Montjuïc,11,el Poble-sec,230703,Grases / Mare de Déu del Remei                    ,,Dissabte,Ds,Laboral,2018,11,Novembre,17,11,Matí,No hi ha causa mediata,429572.15 ,4580708.88,2.156699,41.372972
2018S005274    ,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes                                   ,495,Diumenge,Dg,Laboral,2018,7,Juliol,8,19,Tarda,No hi ha causa mediata,429572.34 ,4581597.5 ,2.156598,41.380975
2018S001283    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,191204,Mallorca                                          ,181,Divendres,Dv,Laboral,2018,2,Febrer,16,16,Tarda,No hi ha causa mediata,429572.82 ,4582533.56,2.156495,41.389406
2018S009786    ,6,Gràcia,31,la Vila de Gràcia,208001,Torrent de l'Olla / Montseny                      ,,Dissabte,Ds,Laboral,2018,12,Desembre,22,15,Tarda,No hi ha causa mediata,429574.61 ,4584031.06,2.156342,41.402894
2018S001219    ,6,Gràcia,31,la Vila de Gràcia,206403,Goya / Gran de Gràcia                             ,,Dimecres,Dc,Laboral,2018,2,Febrer,14,11,Matí,No hi ha causa mediata,429574.97 ,4583604.82,2.156396,41.399055
2018S008913    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova                                          ,98-102    ,Dimecres,Dc,Laboral,2018,11,Novembre,21,19,Tarda,No hi ha causa mediata,429576.25 ,4582288.82,2.156564,41.387202
2018S006514    ,7,Horta-Guinardó,43,Horta,235503,Estatut                                           ,1,Dilluns,Dl,Laboral,2018,8,Agost,27,22,Nit,No hi ha causa mediata,429577.73 ,4586996.28,2.156034,41.4296
2018S005418    ,7,Horta-Guinardó,42,la Clota,701080,Estatut                                           ,1,Divendres,Dv,Laboral,2018,7,Juliol,13,8,Matí,No hi ha causa mediata,429577.73 ,4586996.28,2.156034,41.4296
2018S009227    ,2,Eixample,10,Sant Antoni,198804,Paral·lel                                         ,159,Diumenge,Dg,Laboral,2018,12,Desembre,2,21,Tarda,No hi ha causa mediata,429579.49 ,4580913.51,2.156763,41.374815
2018S007753    ,6,Gràcia,31,la Vila de Gràcia,310802,Massens / Sant Salvador                           ,,Divendres,Dv,Laboral,2018,10,Octubre,12,8,Matí,No hi ha causa mediata,429580.17 ,4584659.62,2.156335,41.408555
2018S000075    ,6,Gràcia,31,la Vila de Gràcia,208001,Perla                                             ,3,Dijous,Dj,Laboral,2018,1,Gener,4,12,Matí,No hi ha causa mediata,429582.49 ,4584042.63,2.156435,41.402998
2018S002291    ,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes                                   ,497,Dijous,Dj,Laboral,2018,3,Març,22,11,Matí,No hi ha causa mediata,429582.84 ,4581607.82,2.156722,41.381069
2018S001313    ,3,Sants-Montjuïc,11,el Poble-sec,234001,Olímpic                                           ,20,Dissabte,Ds,Laboral,2018,2,Febrer,17,20,Tarda,No hi ha causa mediata,429585.23 ,4579943.26,2.156944,41.366077
